prompt_index,query,method,constraints,num_results,runtime_sec,parse_error,top_names,top1_name,top1_price,top1_type
30,I want a women's windproof winter jacket under 900 dollars for everyday use.,baseline,"{""use_case"": ""everyday"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 900}",5,0.022,,Canada Goose Women's Cypress Jacket | Canada Goose Women's Davie Jacket | Canada Goose Men's Lockeport Jacket | Canada Goose Women's Salida Jacket | Canada Goose Men's Nanaimo Jacket,Canada Goose Women's Cypress Jacket,895.0,jacket
31,I want a men's snow jacket under 1700 dollars for winter sports.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1700}",5,0.023,,Canada Goose Men's Lodge Jacket - Updated | Canada Goose Women's Cypress Hoody | Canada Goose Men's Lodge Jacket Black Label | Canada Goose Men's Crofton Puffer | Canada Goose Men's Hybridge Knit Vest Black Label,Canada Goose Men's Lodge Jacket - Updated,825.0,jacket
32,I want a women's waterproof jacket under 1000 dollars for rainy city weather.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1000}",5,0.025,,Canada Goose Women's Cypress Jacket | Canada Goose Men's Nanaimo Jacket | Canada Goose Men's Rupert Rain Jacket Black Label | Canada Goose Women's Hybridge Knit Jacket | Canada Goose Women's Salida Jacket,Canada Goose Women's Cypress Jacket,895.0,jacket
33,I want a men's warm parka under 2000 dollars for harsh winter climates.,baseline,"{""warmth_level"": ""medium"", ""length"": ""long"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 2000}",5,0.026,,Canada Goose Women's Shelburne Parka Heritage | Canada Goose Women's Shelburne Parka Black Label | Canada Goose Women's Shelburne Parka | Canada Goose Men's Carson Parka | Canada Goose Men's Carson Parka Heritage,Canada Goose Women's Shelburne Parka Heritage,1775.0,parka
34,I want a women's insulated coat under 1400 dollars for commuting to the office.,baseline,"{""gender"": ""men"", ""price_max"": 1400}",5,0.03,,Canada Goose Women's Clair Coat - Updated | Canada Goose Women's Marlow Coat | Canada Goose Women's Alliston Coat | Canada Goose Women's Freestyle Vest Black Label | Canada Goose Men's Hybridge Knit Vest,Canada Goose Women's Clair Coat - Updated,1050.0,jacket
35,I want a men's winter jacket under 1000 dollars that is durable for daily wear.,baseline,"{""use_case"": ""everyday"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1000}",5,0.025,,Canada Goose Women's Salida Jacket | Canada Goose Men's Nanaimo Jacket | Canada Goose Women's Cypress Jacket | Canada Goose Men's Lockeport Jacket | Canada Goose Men's Woolford Jacket,Canada Goose Women's Salida Jacket,650.0,jacket
36,I want a women's down coat under 1500 dollars for snowy winter trips.,baseline,"{""insulation"": ""down"", ""use_case"": ""travel"", ""gender"": ""men"", ""price_max"": 1500}",5,0.025,,Canada Goose Women's Alliston Coat | Canada Goose Women's Cypress Vest Black Label | Canada Goose Women's Cypress Vest | Canada Goose Men's Crofton Puffer | Canada Goose Women's Cypress Jacket,Canada Goose Women's Alliston Coat,1095.0,jacket
37,I want a men's waterproof jacket under 900 dollars for rainy commuting.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 900}",5,0.02,,Canada Goose Men's Rupert Rain Jacket Black Label | Canada Goose Men's Nanaimo Jacket | Canada Goose Men's Hybridge Knit Vest Black Label | Canada Goose Men's Hybridge Knit Vest | Canada Goose Men's Crofton Jacket,Canada Goose Men's Rupert Rain Jacket Black Label,750.0,jacket
38,I want a women's winter parka under 1800 dollars that is very warm.,baseline,"{""warmth_level"": ""high"", ""length"": ""long"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 1800}",5,0.026,,Canada Goose Women's Shelburne Parka Black Label | Canada Goose Women's Shelburne Parka | Canada Goose Women's Shelburne Parka Heritage | Canada Goose Women's Montebello Parka Heritage | Canada Goose Men's Chateau Parka Heritage,Canada Goose Women's Shelburne Parka Black Label,1475.0,parka
39,I want a men's travel jacket under 1200 dollars that works for cold weather.,baseline,"{""use_case"": ""travel"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1200}",5,0.024,,Canada Goose Men's Crofton Jacket | Canada Goose Men's Crofton Jacket Black Label | Canada Goose Men's Crofton Hoody | Canada Goose Men's Crofton Hoody Black Label | Canada Goose Women's Alliston Coat,Canada Goose Men's Crofton Jacket,895.0,jacket
40,I want a women's warm jacket under 900 dollars for everyday winter use.,baseline,"{""warmth_level"": ""medium"", ""use_case"": ""everyday"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 900}",5,0.022,,Canada Goose Women's Cypress Jacket | Canada Goose Women's Davie Jacket | Canada Goose Men's Lockeport Jacket | Canada Goose Women's Salida Jacket | Canada Goose Men's Nanaimo Jacket,Canada Goose Women's Cypress Jacket,895.0,jacket
41,I want a men's winter coat under 1600 dollars that is windproof and warm.,baseline,"{""warmth_level"": ""medium"", ""gender"": ""men"", ""price_max"": 1600}",5,0.024,,Canada Goose Women's Shelburne Parka Black Label | Canada Goose Women's Shelburne Parka | Canada Goose Men's Lodge Jacket Black Label | Canada Goose Men's Lodge Jacket - Updated | Canada Goose Men's Lodge Hoody Black Label - Updated,Canada Goose Women's Shelburne Parka Black Label,1475.0,parka
42,I want a women's waterproof rain jacket under 700 dollars for stormy weather.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 700}",5,0.02,,Canada Goose Women's Salida Jacket | Canada Goose Men's Nanaimo Jacket | Canada Goose Women's Kenora Jacket | Canada Goose Women's Hybridge Knit Jacket | Canada Goose Men's Hybridge Knit Vest,Canada Goose Women's Salida Jacket,650.0,jacket
43,I want a men's insulated winter jacket under 1400 dollars for commuting.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1400}",5,0.025,,Canada Goose Men's Lodge Jacket - Updated | Canada Goose Men's Hybridge Knit Vest | Canada Goose Men's Hybridge Knit Vest Black Label | Canada Goose Men's Freestyle Vest PBI | Canada Goose Men's Lodge Hoody,Canada Goose Men's Lodge Jacket - Updated,825.0,jacket
44,I want a women's snow parka under 1900 dollars for cold outdoor activities.,baseline,"{""length"": ""long"", ""use_case"": ""hiking"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 1900}",5,0.029,,Canada Goose Men's Wyndham Parka Heritage | Canada Goose Women's Montebello Parka Heritage | Canada Goose Men's Carson Parka Heritage | Canada Goose Men's Chateau Parka Heritage | Canada Goose Men's Chateau Parka Black Label Heritage,Canada Goose Men's Wyndham Parka Heritage,1675.0,parka
45,I want a men's down coat under 1500 dollars for very cold weather.,baseline,"{""insulation"": ""down"", ""gender"": ""men"", ""price_max"": 1500}",5,0.029,,Canada Goose Men's Garson Vest Wool | Canada Goose Women's Alliston Coat | Canada Goose Men's Crofton Jacket | Canada Goose Women's Cypress Vest | Canada Goose Women's Cypress Vest Black Label,Canada Goose Men's Garson Vest Wool,850.0,vest
46,I want a women's everyday winter jacket under 800 dollars that is warm.,baseline,"{""warmth_level"": ""medium"", ""use_case"": ""everyday"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 800}",5,0.023,,Canada Goose Men's Lockeport Jacket | Canada Goose Women's Davie Jacket | Canada Goose Women's Salida Jacket | Canada Goose Men's Nanaimo Jacket | Canada Goose Women's Cypress Jacket,Canada Goose Men's Lockeport Jacket,650.0,jacket
47,I want a men's waterproof shell jacket under 600 dollars for rainstorms.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 600}",5,0.022,,Canada Goose Men's Nanaimo Jacket | Canada Goose Men's Hybridge Knit Vest | Canada Goose Men's Hybridge Knit Vest Black Label | Canada Goose Women's Davie Jacket | Canada Goose Women's Minden Jacket,Canada Goose Men's Nanaimo Jacket,575.0,jacket
48,I want a women's winter travel coat under 1300 dollars that is lightweight and warm.,baseline,"{""warmth_level"": ""low"", ""use_case"": ""travel"", ""gender"": ""men"", ""price_max"": 1300}",5,0.026,,Canada Goose Women's Alliston Coat | Canada Goose Women's Cypress Vest Black Label | Canada Goose Women's Cypress Vest | Canada Goose Women's Cypress Jacket | Canada Goose Men's Crofton Jacket,Canada Goose Women's Alliston Coat,1095.0,jacket
49,I want a men's warm jacket under 1200 dollars for winter hiking trips.,baseline,"{""warmth_level"": ""medium"", ""use_case"": ""hiking"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1200}",5,0.023,,Canada Goose Men's Woolford Jacket | Canada Goose Women's Cypress Jacket | Canada Goose Women's Cypress Hooded Jacket Black Label | Canada Goose Women's Cypress Hooded Jacket | Canada Goose Men's Crofton Jacket,Canada Goose Men's Woolford Jacket,850.0,jacket
50,I want a women's down jacket under 1100 dollars for city winters.,baseline,"{""insulation"": ""down"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1100}",5,0.022,,Canada Goose Women's Cypress Jacket | Canada Goose Women's Cypress Hooded Jacket | Canada Goose Women's Cypress Hooded Jacket Black Label | Canada Goose Men's Hybridge Knit Vest | Canada Goose Men's Hybridge Knit Vest Black Label,Canada Goose Women's Cypress Jacket,895.0,jacket
51,I want a men's windproof winter parka under 2000 dollars for harsh cold climates.,baseline,"{""length"": ""long"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 2000}",5,0.025,,Canada Goose Men's Carson Parka | Canada Goose Men's Carson Parka Heritage | Canada Goose Men's Chateau Parka Heritage | Canada Goose Women's Montebello Parka Heritage | Canada Goose Men's Chateau Parka Black Label Heritage,Canada Goose Men's Carson Parka,1495.0,parka
52,I want a women's waterproof coat under 1000 dollars for rainy days.,baseline,"{""gender"": ""men"", ""price_max"": 1000}",5,0.0255,,Canada Goose Men's Rupert Rain Jacket Black Label | Canada Goose Women's Fairhaven 1/4-Zip Sweater | Canada Goose Men's Nanaimo Jacket | Canada Goose Men's Stormont 1/4 Zip Sweater | Canada Goose Women's Minden Jacket,Canada Goose Men's Rupert Rain Jacket Black Label,750.0,jacket
53,I want a men's winter jacket under 900 dollars for everyday commuting.,baseline,"{""use_case"": ""everyday"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 900}",5,0.024,,Canada Goose Women's Cypress Jacket | Canada Goose Women's Davie Jacket | Canada Goose Men's Lockeport Jacket | Canada Goose Men's Woolford Jacket | Canada Goose Women's Salida Jacket,Canada Goose Women's Cypress Jacket,895.0,jacket
54,I want a women's insulated jacket under 1200 dollars for winter travel.,baseline,"{""use_case"": ""travel"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1200}",5,0.023,,Canada Goose Women's Cypress Jacket | Canada Goose Men's Crofton Puffer | Canada Goose Women's Hybridge Lite Jacket | Canada Goose Men's Crofton Jacket | Canada Goose Men's Crofton Jacket Black Label,Canada Goose Women's Cypress Jacket,895.0,jacket
55,I want a men's down parka under 1800 dollars for cold mountain weather.,baseline,"{""length"": ""long"", ""insulation"": ""down"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 1800}",5,0.025,,Canada Goose Men's Chateau Parka Black Label Heritage | Canada Goose Men's MacMillan Parka Black Label | Canada Goose Men's MacMillan Parka Wool | Canada Goose Women's Shelburne Parka Tonal Label | Canada Goose Women's Shelburne Parka Black Label - Updated,Canada Goose Men's Chateau Parka Black Label Heritage,1775.0,parka
56,I want a women's winter coat under 1400 dollars that is stylish and warm.,baseline,"{""warmth_level"": ""medium"", ""gender"": ""men"", ""price_max"": 1400}",5,0.026,,Canada Goose Women's Clair Coat - Updated | Canada Goose Women's Marlow Coat | Canada Goose Women's Alliston Coat | Canada Goose Men's Lodge Jacket Black Label | Canada Goose Men's Lodge Jacket - Updated,Canada Goose Women's Clair Coat - Updated,1050.0,jacket
57,I want a men's waterproof winter jacket under 1000 dollars for rainy snow.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1000}",5,0.023,,Canada Goose Men's Rupert Rain Jacket Black Label | Canada Goose Men's Nanaimo Jacket | Canada Goose Men's Lodge Jacket - Updated | Canada Goose Women's Cypress Hoody | Canada Goose Men's Lodge Jacket Black Label,Canada Goose Men's Rupert Rain Jacket Black Label,750.0,jacket
58,I want a women's lightweight winter jacket under 800 dollars for casual wear.,baseline,"{""warmth_level"": ""low"", ""use_case"": ""everyday"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 800}",5,0.022,,Canada Goose Women's Salida Jacket | Canada Goose Men's Nanaimo Jacket | Canada Goose Women's Davie Jacket | Canada Goose Men's Lockeport Jacket | Canada Goose Women's Cypress Jacket,Canada Goose Women's Salida Jacket,650.0,jacket
59,I want a men's snow jacket under 1700 dollars that is windproof and warm.,baseline,"{""warmth_level"": ""medium"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1700}",5,0.023,,Canada Goose Men's Lodge Jacket Black Label | Canada Goose Men's Lodge Jacket - Updated | Canada Goose Men's Lodge Hoody | Canada Goose Men's Crofton Jacket | Canada Goose Men's Crofton Jacket Black Label,Canada Goose Men's Lodge Jacket Black Label,825.0,jacket
60,I want a women's warm coat under 1500 dollars for work commuting.,baseline,"{""warmth_level"": ""medium"", ""gender"": ""men"", ""price_max"": 1500}",5,0.026,,Canada Goose Women's Shelburne Parka Black Label | Canada Goose Women's Shelburne Parka | Canada Goose Women's Clair Coat - Updated | Canada Goose Women's Marlow Coat | Canada Goose Women's Alliston Coat,Canada Goose Women's Shelburne Parka Black Label,1475.0,parka
61,I want a men's insulated jacket under 1200 dollars for winter walking.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1200}",5,0.022,,Canada Goose Men's Lodge Jacket - Updated | Canada Goose Men's Hybridge Knit Vest | Canada Goose Men's Hybridge Knit Vest Black Label | Canada Goose Men's Freestyle Vest PBI | Canada Goose Men's Lodge Hoody,Canada Goose Men's Lodge Jacket - Updated,825.0,jacket
62,I want a women's winter parka under 2000 dollars for very cold climates.,baseline,"{""length"": ""long"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 2000}",5,0.024,,Canada Goose Women's Shelburne Parka Black Label - Updated | Canada Goose Women's Shelburne Parka Tonal Label | Canada Goose Women's Montebello Parka Heritage | Canada Goose Men's Carson Parka | Canada Goose Men's Chateau Parka Heritage,Canada Goose Women's Shelburne Parka Black Label - Updated,1475.0,parka
63,I want a men's waterproof rain jacket under 700 dollars for heavy storms.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 700}",5,0.02,,Canada Goose Men's Nanaimo Jacket | Canada Goose Women's Salida Jacket | Canada Goose Women's Kenora Jacket | Canada Goose Men's Hybridge Knit Vest | Canada Goose Men's Hybridge Knit Vest Black Label,Canada Goose Men's Nanaimo Jacket,575.0,jacket
