query,method,expected,actual_constraints,actual_top1_name,actual_top1_price,actual_top1_type,actual_top_results,num_results,runtime_sec,parse_error
warm men's jacket for winter under $1200,flan,"{""expected_type"": ""jacket"", ""expected_price_max"": 1200.0, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": NaN, ""expected_gender"": ""men"", ""expected_outerwear"": true}","{""warmth_level"": ""low"", ""length"": ""long"", ""insulation"": ""down"", ""use_case"": ""extreme_cold"", ""product_type"": ""jacket""}",Canada Goose Men's Lodge Jacket - Updated,825.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Men's Lodge Jacket - Updated"", ""price"": 825.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}, {""rank"": 2, ""name"": ""Canada Goose Men's Chateau Parka Black Label Heritage"", ""price"": 1775.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}, {""rank"": 3, ""name"": ""Canada Goose Men's Hybridge Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}, {""rank"": 4, ""name"": ""Canada Goose Men's Lodge Jacket Black Label"", ""price"": 825.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.5}, {""rank"": 5, ""name"": ""Canada Goose Men's Crofton Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.5}]",5,4.9488,
warm men's jacket for winter under $1200,hybrid,"{""expected_type"": ""jacket"", ""expected_price_max"": 1200.0, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": NaN, ""expected_gender"": ""men"", ""expected_outerwear"": true}","{""warmth_level"": ""medium"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1200, ""use_case"": ""extreme_cold"", ""insulation"": ""down"", ""length"": ""long""}",Canada Goose Men's Lodge Jacket - Updated,825.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Men's Lodge Jacket - Updated"", ""price"": 825.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 11.5}, {""rank"": 2, ""name"": ""Canada Goose Men's Hybridge Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 11.5}, {""rank"": 3, ""name"": ""Canada Goose Men's Lodge Jacket Black Label"", ""price"": 825.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 10.5}, {""rank"": 4, ""name"": ""Canada Goose Men's Crofton Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 10.5}, {""rank"": 5, ""name"": ""Canada Goose Men's Lodge Hoody"", ""price"": 875.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 10.5}]",5,4.8062,
down parka for very cold weather,baseline,"{""expected_type"": ""parka"", ""expected_price_max"": NaN, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": ""down"", ""expected_gender"": NaN, ""expected_outerwear"": true}","{""length"": ""long"", ""insulation"": ""down"", ""product_type"": ""parka""}",Canada Goose Men's Chateau Parka Black Label Heritage,1775.0,parka,"[{""rank"": 1, ""name"": ""Canada Goose Men's Chateau Parka Black Label Heritage"", ""price"": 1775.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 2, ""name"": ""Canada Goose Women's Shelburne Parka Tonal Label"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 3, ""name"": ""Canada Goose Women's Shelburne Parka Black Label - Updated"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 4, ""name"": ""Canada Goose Men's MacMillan Parka Black Label"", ""price"": 1250.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 5, ""name"": ""Canada Goose Women's Lorette Parka Notched Brim"", ""price"": 1195.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}]",5,0.029,
down parka for very cold weather,flan,"{""expected_type"": ""parka"", ""expected_price_max"": NaN, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": ""down"", ""expected_gender"": NaN, ""expected_outerwear"": true}","{""product_type"": ""parka"", ""insulation"": ""down"", ""length"": ""long""}",Canada Goose Men's Chateau Parka Black Label Heritage,1775.0,parka,"[{""rank"": 1, ""name"": ""Canada Goose Men's Chateau Parka Black Label Heritage"", ""price"": 1775.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 2, ""name"": ""Canada Goose Women's Shelburne Parka Tonal Label"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 3, ""name"": ""Canada Goose Women's Shelburne Parka Black Label - Updated"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 4, ""name"": ""Canada Goose Men's MacMillan Parka Black Label"", ""price"": 1250.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 5, ""name"": ""Canada Goose Women's Lorette Parka Notched Brim"", ""price"": 1195.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}]",5,0.81,
down parka for very cold weather,hybrid,"{""expected_type"": ""parka"", ""expected_price_max"": NaN, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": ""down"", ""expected_gender"": NaN, ""expected_outerwear"": true}","{""length"": ""long"", ""insulation"": ""down"", ""product_type"": ""parka""}",Canada Goose Men's Chateau Parka Black Label Heritage,1775.0,parka,"[{""rank"": 1, ""name"": ""Canada Goose Men's Chateau Parka Black Label Heritage"", ""price"": 1775.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 2, ""name"": ""Canada Goose Women's Shelburne Parka Tonal Label"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 3, ""name"": ""Canada Goose Women's Shelburne Parka Black Label - Updated"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 4, ""name"": ""Canada Goose Men's MacMillan Parka Black Label"", ""price"": 1250.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 5, ""name"": ""Canada Goose Women's Lorette Parka Notched Brim"", ""price"": 1195.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}]",5,0.845,
lightweight jacket for travel under $900,baseline,"{""expected_type"": ""jacket"", ""expected_price_max"": 900.0, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""low"", ""use_case"": ""travel"", ""product_type"": ""jacket"", ""price_max"": 900}",Canada Goose Men's Crofton Jacket,895.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Men's Crofton Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Crofton Jacket Black Label"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 3, ""name"": ""Canada Goose Women's Cypress Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Ellison Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 5, ""name"": ""Canada Goose Women's Hybridge Lite Jacket"", ""price"": 750.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}]",5,0.027,
lightweight jacket for travel under $900,flan,"{""expected_type"": ""jacket"", ""expected_price_max"": 900.0, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""low"", ""use_case"": ""everyday"", ""product_type"": ""jacket""}",Canada Goose Women's Cypress Jacket,895.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Women's Cypress Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 5.0}, {""rank"": 2, ""name"": ""Canada Goose Women's Salida Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 5.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Nanaimo Jacket"", ""price"": 575.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 5.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Cypress Hooded Jacket Black Label"", ""price"": 1050.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 5.0}, {""rank"": 5, ""name"": ""Canada Goose Women's Cypress Hooded Jacket"", ""price"": 1050.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 5.0}]",5,3.4555,
lightweight jacket for travel under $900,hybrid,"{""expected_type"": ""jacket"", ""expected_price_max"": 900.0, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""low"", ""use_case"": ""travel"", ""product_type"": ""jacket"", ""price_max"": 900}",Canada Goose Men's Crofton Jacket,895.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Men's Crofton Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Crofton Jacket Black Label"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 3, ""name"": ""Canada Goose Women's Cypress Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Ellison Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 5, ""name"": ""Canada Goose Women's Hybridge Lite Jacket"", ""price"": 750.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}]",5,3.583,
women's travel jacket under $1000,baseline,"{""expected_type"": ""jacket"", ""expected_price_max"": 1000.0, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": ""women"", ""expected_outerwear"": true}","{""use_case"": ""travel"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1000}",Canada Goose Women's Cypress Jacket,895.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Women's Cypress Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Crofton Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Crofton Jacket Black Label"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Cypress Hoody"", ""price"": 950.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Crofton Hoody"", ""price"": 950.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.0}]",5,0.025,
women's travel jacket under $1000,flan,"{""expected_type"": ""jacket"", ""expected_price_max"": 1000.0, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": ""women"", ""expected_outerwear"": true}","{""use_case"": ""travel"", ""price_max"": 1000, ""product_type"": ""jacket"", ""gender"": ""women""}",,,,[],0,4.0399,
