query,method,constraints,num_results,runtime_sec,parse_error,top1_name,top1_type,top1_price,price_detect,price_exact,type_detect,type_match,use_case_detect,use_case_match,ins_detect,ins_match,gender_detect,gender_match,constraint_exact_match,constraint_field_accuracy,num_predicted_fields,has_results,outerwear_precision_at_5,price_satisfaction_at_5,top1_type_match,top1_gender_match,hit_at_1,hit_at_3,mrr_at_5,ndcg_at_5,avg_relevance_at_5,query_category
warm men's jacket for winter under $1200,flan,"{""warmth_level"": ""low"", ""length"": ""long"", ""insulation"": ""down"", ""use_case"": ""extreme_cold"", ""product_type"": ""jacket""}",5,4.7503,,Canada Goose Men's Lodge Jacket - Updated,jacket,825.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,5,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.9488624617780657,2.8,extreme_cold
warm men's jacket for winter under $1200,hybrid,"{""warmth_level"": ""medium"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1200, ""use_case"": ""extreme_cold"", ""insulation"": ""down"", ""length"": ""long""}",5,5.0983,,Canada Goose Men's Lodge Jacket - Updated,jacket,825.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,extreme_cold
down parka for very cold weather,baseline,"{""length"": ""long"", ""insulation"": ""down"", ""product_type"": ""parka""}",5,0.026,,Canada Goose Men's Chateau Parka Black Label Heritage,parka,1775.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,extreme_cold
down parka for very cold weather,flan,"{""product_type"": ""parka"", ""insulation"": ""down"", ""length"": ""long""}",5,0.7531,,Canada Goose Men's Chateau Parka Black Label Heritage,parka,1775.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,extreme_cold
down parka for very cold weather,hybrid,"{""length"": ""long"", ""insulation"": ""down"", ""product_type"": ""parka""}",5,0.7496,,Canada Goose Men's Chateau Parka Black Label Heritage,parka,1775.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,extreme_cold
lightweight jacket for travel under $900,baseline,"{""warmth_level"": ""low"", ""use_case"": ""travel"", ""product_type"": ""jacket"", ""price_max"": 900}",5,0.0273,,Canada Goose Men's Crofton Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,4,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,travel
lightweight jacket for travel under $900,flan,"{""warmth_level"": ""low"", ""use_case"": ""everyday"", ""product_type"": ""jacket""}",5,3.256,,Canada Goose Women's Cypress Jacket,jacket,895.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3,1.0,1.0,0.6,1.0,,1.0,1.0,1.0,1.0,2.0,travel
lightweight jacket for travel under $900,hybrid,"{""warmth_level"": ""low"", ""use_case"": ""travel"", ""product_type"": ""jacket"", ""price_max"": 900}",5,3.2926,,Canada Goose Men's Crofton Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,4,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,travel
women's travel jacket under $1000,baseline,"{""use_case"": ""travel"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1000}",5,0.033,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6,4,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,travel
women's travel jacket under $1000,flan,"{""use_case"": ""travel"", ""price_max"": 1000, ""product_type"": ""jacket"", ""gender"": ""women""}",0,3.8427,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8,4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,travel
women's travel jacket under $1000,hybrid,"{""use_case"": ""travel"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1000}",5,4.0049,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6,4,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,travel
packable jacket for travel,baseline,"{""use_case"": ""travel"", ""product_type"": ""jacket""}",5,0.0305,,Canada Goose Men's Crofton Jacket Black Label,jacket,895.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,2,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,travel
packable jacket for travel,flan,"{""product_type"": ""jacket"", ""use_case"": ""travel""}",5,0.8166,,Canada Goose Men's Crofton Jacket Black Label,jacket,895.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,2,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,travel
packable jacket for travel,hybrid,"{""use_case"": ""travel"", ""product_type"": ""jacket""}",5,0.8811,,Canada Goose Men's Crofton Jacket Black Label,jacket,895.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,2,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,travel
light jacket for trips under $800,baseline,"{""warmth_level"": ""low"", ""use_case"": ""travel"", ""product_type"": ""jacket"", ""price_max"": 800}",5,0.034,,Canada Goose Women's Hybridge Lite Jacket,jacket,750.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,4,1.0,1.0,0.6,1.0,,1.0,1.0,1.0,1.0,2.0,travel
light jacket for trips under $800,flan,"{""product_type"": ""jacket"", ""use_case"": ""travel"", ""warmth_level"": ""low"", ""price_max"": 800}",5,1.812,,Canada Goose Women's Hybridge Lite Jacket,jacket,750.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,4,1.0,1.0,0.6,1.0,,1.0,1.0,1.0,1.0,2.0,travel
light jacket for trips under $800,hybrid,"{""warmth_level"": ""low"", ""use_case"": ""travel"", ""product_type"": ""jacket"", ""price_max"": 800}",5,1.9398,,Canada Goose Women's Hybridge Lite Jacket,jacket,750.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,4,1.0,1.0,0.6,1.0,,1.0,1.0,1.0,1.0,2.0,travel
travel vest under $700,baseline,"{""use_case"": ""travel"", ""product_type"": ""vest"", ""price_max"": 700}",5,0.03,,Canada Goose Men's Crofton Vest Black Label,vest,650.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,travel
travel vest under $700,flan,"{""product_type"": ""vest"", ""use_case"": ""travel"", ""price_max"": 700}",5,0.979,,Canada Goose Men's Crofton Vest Black Label,vest,650.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,travel
travel vest under $700,hybrid,"{""use_case"": ""travel"", ""product_type"": ""vest"", ""price_max"": 700}",5,0.9467,,Canada Goose Men's Crofton Vest Black Label,vest,650.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,travel
not too warm jacket for daily use under 700,baseline,"{""warmth_level"": ""low"", ""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 700}",5,0.025,,Canada Goose Women's Salida Jacket,jacket,650.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,4,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,everyday
not too warm jacket for daily use under 700,flan,"{""product_type"": ""jacket"", ""use_case"": ""everyday"", ""warmth_level"": ""low"", ""price_max"": 700}",5,0.9446,,Canada Goose Women's Salida Jacket,jacket,650.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,4,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,everyday
not too warm jacket for daily use under 700,hybrid,"{""warmth_level"": ""low"", ""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 700}",5,0.8877,,Canada Goose Women's Salida Jacket,jacket,650.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,4,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,everyday
everyday jacket under $900,baseline,"{""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 900}",5,0.026,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,everyday
everyday jacket under $900,flan,"{""product_type"": ""jacket"", ""use_case"": ""everyday"", ""price_max"": 900}",5,0.8815,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,everyday
everyday jacket under $900,hybrid,"{""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 900}",5,0.89,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,everyday
casual hoody for everyday use,baseline,"{""use_case"": ""everyday"", ""product_type"": ""hoody""}",5,0.022,,Canada Goose Men's Hybridge Lite Tech Hoody,hoody,795.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,2,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,hoody
casual hoody for everyday use,flan,"{""warmth_level"": ""low"", ""use_case"": ""everyday"", ""product_type"": ""hoody""}",5,3.9092,,Canada Goose Men's Hybridge Lite Tech Hoody,hoody,795.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,hoody
casual hoody for everyday use,hybrid,"{""use_case"": ""everyday"", ""product_type"": ""hoody"", ""warmth_level"": ""low""}",5,3.973,,Canada Goose Men's Hybridge Lite Tech Hoody,hoody,795.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,hoody
lightweight hoody for casual everyday use,baseline,"{""warmth_level"": ""low"", ""use_case"": ""everyday"", ""product_type"": ""hoody""}",5,0.026,,Canada Goose Men's Hybridge Lite Tech Hoody,hoody,795.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,hoody
lightweight hoody for casual everyday use,flan,"{""warmth_level"": ""low"", ""use_case"": ""everyday"", ""product_type"": ""hoody""}",5,3.7297,,Canada Goose Men's Hybridge Lite Tech Hoody,hoody,795.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,hoody
lightweight hoody for casual everyday use,hybrid,"{""warmth_level"": ""low"", ""use_case"": ""everyday"", ""product_type"": ""hoody""}",5,3.3218,,Canada Goose Men's Hybridge Lite Tech Hoody,hoody,795.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,hoody
daily jacket for city use under $1000,baseline,"{""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 1000}",5,0.031,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,everyday
daily jacket for city use under $1000,flan,"{""product_type"": ""jacket"", ""use_case"": ""everyday"", ""price_max"": 1000}",5,0.9141,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,everyday
daily jacket for city use under $1000,hybrid,"{""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 1000}",5,0.8561,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,everyday
warm jacket for hiking,baseline,"{""warmth_level"": ""medium"", ""use_case"": ""hiking"", ""product_type"": ""jacket""}",5,0.031,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
warm jacket for hiking,flan,"{""product_type"": ""jacket"", ""use_case"": ""hiking"", ""warmth_level"": ""medium""}",5,0.8421,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
warm jacket for hiking,hybrid,"{""warmth_level"": ""medium"", ""use_case"": ""hiking"", ""product_type"": ""jacket""}",5,0.8078,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
hiking jacket under $1000,baseline,"{""use_case"": ""hiking"", ""product_type"": ""jacket"", ""price_max"": 1000}",5,0.026,,Canada Goose Men's Woolford Jacket,jacket,850.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
hiking jacket under $1000,flan,"{""product_type"": ""jacket"", ""use_case"": ""hiking"", ""price_max"": 1000}",5,0.7869,,Canada Goose Men's Woolford Jacket,jacket,850.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
hiking jacket under $1000,hybrid,"{""use_case"": ""hiking"", ""product_type"": ""jacket"", ""price_max"": 1000}",5,0.9176,,Canada Goose Men's Woolford Jacket,jacket,850.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
light outdoor jacket for hiking,baseline,"{""warmth_level"": ""low"", ""use_case"": ""hiking"", ""product_type"": ""jacket""}",5,0.033,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
light outdoor jacket for hiking,flan,"{""product_type"": ""jacket"", ""use_case"": ""hiking"", ""warmth_level"": ""low""}",5,0.8551,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
light outdoor jacket for hiking,hybrid,"{""warmth_level"": ""low"", ""use_case"": ""hiking"", ""product_type"": ""jacket""}",5,0.882,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
packable hiking jacket for cold weather,baseline,"{""use_case"": ""hiking"", ""product_type"": ""jacket""}",5,0.03,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,2,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
packable hiking jacket for cold weather,flan,"{""product_type"": ""jacket"", ""use_case"": ""hiking""}",5,0.8216,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,2,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
packable hiking jacket for cold weather,hybrid,"{""use_case"": ""hiking"", ""product_type"": ""jacket""}",5,0.9221,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,2,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
trail jacket under $900,baseline,"{""use_case"": ""hiking"", ""product_type"": ""jacket"", ""price_max"": 900}",5,0.026,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
trail jacket under $900,flan,"{""product_type"": ""jacket"", ""use_case"": ""hiking"", ""price_max"": 900}",5,0.8941,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
trail jacket under $900,hybrid,"{""use_case"": ""hiking"", ""product_type"": ""jacket"", ""price_max"": 900}",5,0.9251,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
men's down vest under $800,baseline,"{""insulation"": ""down"", ""product_type"": ""vest"", ""gender"": ""men"", ""price_max"": 800}",5,0.028,,Canada Goose Men's Freestyle Crew Vest,vest,650.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,vest
men's down vest under $800,flan,"{""insulation"": ""down"", ""price_max"": 800, ""product_type"": ""vest"", ""gender"": ""men""}",5,3.4572,,Canada Goose Men's Freestyle Crew Vest,vest,650.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,vest
men's down vest under $800,hybrid,"{""insulation"": ""down"", ""product_type"": ""vest"", ""gender"": ""men"", ""price_max"": 800}",5,3.4664,,Canada Goose Men's Freestyle Crew Vest,vest,650.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,vest
women's vest under $700,baseline,"{""product_type"": ""vest"", ""gender"": ""men"", ""price_max"": 700}",5,0.024,,Canada Goose Men's Garson Vest Black Label CR,vest,595.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,vest
women's vest under $700,flan,"{""product_type"": ""vest"", ""gender"": ""men"", ""price_max"": 700}",5,0.8253,,Canada Goose Men's Garson Vest Black Label CR,vest,595.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,vest
women's vest under $700,hybrid,"{""product_type"": ""vest"", ""gender"": ""men"", ""price_max"": 700}",5,0.8025,,Canada Goose Men's Garson Vest Black Label CR,vest,595.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,vest
short down jacket for everyday commute under $1000,baseline,"{""length"": ""short"", ""insulation"": ""down"", ""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 1000}",5,0.027,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,5,1.0,1.0,0.6,1.0,,1.0,1.0,1.0,1.0,2.6,everyday
short down jacket for everyday commute under $1000,flan,"{""length"": ""short"", ""insulation"": ""down"", ""price_max"": 1000}",5,3.7368,,Canada Goose Women's Alliston Coat,jacket,1095.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4,3,1.0,1.0,0.8,1.0,,1.0,1.0,1.0,0.8850729764703047,2.2,everyday
short down jacket for everyday commute under $1000,hybrid,"{""length"": ""short"", ""insulation"": ""down"", ""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 1000}",5,3.4938,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,5,1.0,1.0,0.6,1.0,,1.0,1.0,1.0,1.0,2.6,everyday
warm hoody under $500,baseline,"{""warmth_level"": ""medium"", ""product_type"": ""hoody"", ""price_max"": 500}",5,0.029,,Canada Goose Men's Huron Men's Hoody - Updated,hoody,375.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hoody
warm hoody under $500,flan,"{""product_type"": ""hoody"", ""warmth_level"": ""medium"", ""price_max"": 500}",5,0.9047,,Canada Goose Men's Huron Men's Hoody - Updated,hoody,375.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hoody
